titles
"State Visit of Prime Minister of Greece to India (February 21-22, 2024)"
"Visit of Winston Peters, Deputy Prime Minister and Minister of Foreign Affairs of New Zealand to India (February 25-28, 2020)"
"Visit of President of Myanmar to India (February 26-29, 2020)"
"State Visit of the President and the First Lady of the United States of America to India (February 24-25, 2020)"
"State Visit of President of Portugal to India (February 13-16, 2020)"
"Visit of Vice President of the Socialist Republic of Vietnam to India (February 11 –13, 2020)"
"Visit of Prime Minister of the Democratic Socialist Republic of Sri Lanka to India (7 –11 February, 2020)"
"Visit of Minister of Foreign and European Affairs of the Grand Duchy of Luxembourg to India (January 27-29, 2020)"
"State Visit of President of the Federative Republic of Brazil to India (January 24-27, 2020)"
"Visit of High Representative for Foreign Affairs and Security Policy and Vice President of the European Commission to India (January 16-18, 2020)"
"Visit of Australian Foreign Minister to India (15-16 January, 2020)"
"Visit of Minister of Foreign Affairs of the Kingdom of Denmark to India (15-17 January, 2020)"
"Visit of Minister of Foreign Affairs of the Republic of Estonia to India (January 15-17, 2020)"
"Visit of Minister of Foreign Affairs of the Republic of Uzbekistan to India (January 14-16, 2020)"
"Visit of Minister of Foreign Affairs of the Russian Federation to India (January 14-15, 2020)"
"Visit of Minister of International Relations and Cooperation of the Republic of South Africa to India (January 14-18, 2020)"
"Visit of Minister of Foreign Affairs of the Islamic Republic of Iran to India (14-17 January, 2020)"
"Visit of Minister of Foreign Affairs and Trade of Hungary to India (14-17 January, 2020)"
"Visit of Minister of Foreign Affairs of the Republic of Maldives to India (January 13-16, 2020)"
"Visit of Secretary General of Commonwealth to India (January 13-19, 2020)"
"Visit of Minister of Foreign Affairs of the Republic of Latvia to India (January 13-16, 2020)"
"Visit of Minister of Foreign Affairs of the Czech Republic to India (January 13-16, 2020)"
"Visit of Secretary General of Shanghai Cooperation Organisation to India (January 12-16, 2020)"
"Visit of Minister of Foreign Relations of Sri Lanka to India (January 08 - 10, 2020)"
"Visit of Prime Minister of Portugal to India (December 19-20, 2019)"
"Visit of Minister of Foreign Affairs of the Republic of Indonesia to India (December 13 - 14, 2019)"
"Visit of Minister of Foreign Affairs of the Republic of Maldives to India (December 10 - 14, 2019)"
"Visit of Minister of Foreign Affairs of the Republic of Guinea to India (December 02-05, 2019)"
"Visit of King Carl XVI Gustaf and Queen of Sweden (December 02-06, 2019)"
"Visit of Minister of Foreign Affairs and Minister of Defense of Japan to India (November 30, 2019)"
"State Visit of President of Sri Lanka to India (November 28 – 30, 2019)"
"Visit of Minister of Foreign Affairs of Bhutan to India (November 17-23, 2019)"
"Visit of Prince of Wales to India (13-16 November, 2019)"
"Visit of Minister for Foreign Affairs of the Republic of Finland to India (4-7 November, 2019)"
"Visit of Chancellor of Germany to India (October 31-2 November, 2019)"
"Visit of Foreign Minister of the Republic of Nicaragua to India (October 27-29, 2019)"
"State Visit of King and Queen of the Netherlands to India (October 13-18, 2019)"
"Visit of President of China to India (October 11-12, 2019)"
"Visit of Minister of Foreign Affairs of Thailand to India (October 09-11, 2019)"
"Visit of Prime Minister of Bangladesh to India (October 03-06, 2019)"
"State Visit of President of Mongolia to India (September 19-23, 2019)"
"State Visit of President of the Republic of Zambia to India (August 20-22,2019)"
"Visit of Minister of Foreign Affairs and International Cooperation, United Arab Emirates (July 7-9, 2019)"
"Visit of Secretary of State of The United States of America to India (June 25-27, 2019)"
Visit of Heads of State/ Heads of Government in connection with the swearing-in ceremony of the Prime Minister of India​
"Visit of Minister of Foreign Affairs of the Islamic Republic of Iran to India (May 13-14, 2019)"
"Visit of Vice President of the Republic of Ghana to India (March 16-20, 2019)"
"Visit of Prime Minister of the Republic of Guinea (March 16-25, 2019)"
"Visit of Minister of State for Foreign Affairs of Saudi Arabia to India (March 11, 2019)"
"Official Visit of Minister for Foreign Affairs of the Republic of Gambia to India (March 07-12, 2019)"
"Visit of Cabinet Secretary For Foreign Affairs and International Trade of The Republic of Kenya (March 04-06, 2019)"
"Visit of Federal Minister for Europe, Integration and Foreign Affairs of Austria (February 25-27, 2019)"
"State Visit of Crown Prince of Saudi Arabia to India (February 19-20, 2019)"
"State visit of President of Argentina to India (February 17-19, 2019)"
"Visit of Minister of Foreign Affairs of the People’s Republic of Bangladesh (February 06-09 , 2019)"
"Official Visit of His Serene Highness Prince Albert II of Monaco to India (February 04-05, 2019)"
"Visit of Minister of Foreign Affairs of the People’s Democratic Republic of Algeria to India (30 January - 01 February, 2019)"
"Official Visit of Minister of Foreign Affairs of the Kyrgyz Republic (January 27-31, 2019)"
"State Visit of President of the Republic of South Africa (January 25-26, 2019)"
"Official Visit of Prime Minister of the Republic of Mauritius (January 20-28,2019)"
"Visit of Minister for Foreign Affairs of Nepal to India (January 10- 11, 2019)"
"State Visit of Prime Minister of Norway (January 07-09, 2019)"
"Visit of Minister of Foreign Affairs of Japan (January 07-09, 2019)"
"Visit of Minister for Foreign Affairs of Australia (January 07-09, 2019)"
"Visit of Minister of Foreign Affairs of Mongolia (January 07-11, 2019)"
"Visit of Minister of Foreign Affairs of the Islamic Republic of Iran (January 07- 09, 2019)"
"Visit of Minister of Foreign Affairs, European Union and Cooperation of Spain (January 07- 10, 2019)"
"State Visit of Prime Minister of Bhutan to India ( December 27-29, 2018 )"
"Visit of Minister of Foreign Affairs of People’s Republic of China to India (December 21 - 24, 2018)"
"Visit of Minister of Foreign Affairs of the Republic of Korea to India (December 18-19, 2018)"
"Visit of Minister of Foreign Affairs of the Kingdom of Denmark to India (December 17-18, 2018)"
"State Visit of President of the Republic of Maldives to India ( December 16-18, 2018)"
"Visit of Minister of Foreign Affairs of France to India (December 14-15, 2018)"
"Visit of Minister of Foreign Affairs of Iceland to India (December 07 - 14 , 2018)"
"Visit of Minister of Foreign Affairs and Cooperation of Republic of Mozambique to India ( 28 November -02 December, 2018)"
"Visit of Minister of Foreign Affairs of Gabon to India (November 28-30, 2018)"
"Official Visit of Minister of Foreign Affairs of the Republic of Maldives (November 24-27, 2018)"
"Official Visit of Minister of Foreign Affairs of Romania (November 24-27, 2018)"
"Visit of First Lady of the Republic of Korea to India (November 04-07, 2018)"
"Official Visit of Prime Minister of Italy to India (October 29–30, 2018)"
"Official Visit of Prime Minister of Sri Lanka to India (October 18–20, 2018)"
"Visit of Deputy Prime Minister and Foreign Minister and European Affairs of the Republic of Croatia to India (October 20–22, 2018)"
"Visit of President of the Russian Federation, H.E. Mr. Vladimir V. Putin to India (October 04-05, 2018)"
"State Visit of President of the Republic of Uzbekistan to India (September 30 - October 01, 2018)"
"Visit of Secretary of State of the United States of America to India (September 05-06, 2018)"
"Visit of Minister of Foreign Affairs and European Integration of the Republic of Moldova (August 11 - 15, 2018)"
Visit of Federal Councillor and Head of Federal Department of Foreign Affairs of Switzerland
"Visit of Minister of Foreign Affairs & Regional Integration of Ghana to India (July 16-19, 2018)"
"State Visit of President of the Republic of Korea to India (July 8-11, 2018)"
"Official Visit of the Prime Minister of Bhutan to India (July 05-07, 2018)"
"Visit of Foreign Minister of the United Arab Emirates to India (June 24-30, 2018)"
"State Visit of President of Seychelles to India (June 22-27, 2018)"
"Visit of Foreign Minister of the Islamic Republic of Iran (May 28, 2018)"
"Visit of Queen of the Kingdom of Netherlands (May 28-31, 2018)"
"Visit of Prime Minister of Netherlands to India (May 24-25, 2018)"
"Visit of Minister of Foreign Affairs of the Republic of Serbia to India (May 01-04, 2018)"
"State Visit of Prime Minister of Nepal to India (April 6-8, 2018)"
"Visit of President of Germany to India (March 22-25, 2018)"
"Visit of Foreign Minister of the Arab Republic of Egypt to India (March 22-23, 2018)"
"State Visit of President of the French Republic to India (March 9-12, 2018)"
"Visit of Minister of Foreign Affairs of Malta to India (March 5-8, 2018)"
"State visit of President of Vietnam to India (March 2-4, 2018)"
"Visit of the King of Jordan to India (February 27 – March 01, 2018)"
"Visit of Minister of Foreign Affairs of Canada to India (February 21-24, 2018)"
"State Visit of Prime Minister of Canada to India (February 17-24, 2018)"
"Visit of President of the Islamic Republic of Iran to India (February 15-18, 2018)"
"Visit of Foreign Minister of Uzbekistan to India (February 11-12, 2018)"
"Visit of Vice President & Foreign Minister of Guyana ( January 29-February 02, 2018)"
"State Visit of Prime Minister of the Kingdom of Cambodia to India ( January 24-27, 2018)"
"Visit of Prime Minister of Israel to India (January 14-19, 2018)"
"Visit of Minister of Foreign Affairs & Special Envoy of the President the Republic of Maldives to India (January 10-12, 2018)"
"Visit of Minister of Foreign Affairs and Expatriates of the Hashemite Kingdom of Jordan to India (December 27-28, 2017)"
"Visit of Deputy Prime Minister of Russian Federation to India (December 23, 2017)"
"Visit of Commonwealth Secretary General to India (December 13-16, 2017)"
"Visit of Minister of Foreign Affairs of the Russian Federation to India (December 10-11, 2017)"
"Visit of Minister of Foreign Affairs of the People's Republic of China to India (December 10-12, 2017)"
"Visit of Second Vice President of the Islamic Republic of Afghanistan to India (December 9-13, 2017)"
"Visit of Minister of Foreign Affairs of the Kingdom of Denmark to India (November 26-30, 2017)"
"Visit of Minister for Foreign Affairs of the Hellenic Republic to India (November 25-28, 2017)"
"Visit of Minister of Foreign Affairs of Finland to India (November 22-25, 2017)"
"Visit of Prime Minister of Sri Lanka to India (November 21-24, 2017)"
"Visit of Minister for Europe and Foreign Affairs of France to India (November 17-19, 2017)"
"Visit of Vice Prime Minister, Minister of Foreign Affairs and Regional Integration of the Democratic Republic of the Congo to India (November 09-11, 2017)"
"Visit of Prince of Wales to India (November 08, 2017)"
"State Visit of King and Queen of Belgium to India (November 05-11, 2017)"
"Visit of Minister of Foreign Affairs of Republic of Colombia to India (November 06-09, 2017)"
"Visit of Minister of Foreign Affairs of the Republic of Guinea to India (November 03-07, 2017)"
"Visit of President the Republic of Armenia to India (November 02-04, 2017)"
"Visit of Prime Minister of the Republic of Latvia to India (November 02-06, 2017)"
"Visit of Minister of Foreign Affairs of The Republic of Singapore to India (October 31 – 01 November, 2017)"
"Visit of the King and Queen of Bhutan to India (October 31 - 03 November, 2017)"
"State Visit of Prime Minister of The Republic of Italy to India (October 29-30, 2017)"
"Visit of Minister of Foreign Affairs of the Republic of Tunisia to India (October 28-31, 2017)"
"Visit of Secretary of State of the United States of America to India (October 24 – 26, 2017)"
"Working Visit of President of Islamic Republic of Afghanistan to India (October 24, 2017)"
"Visit of Minister of Foreign Affairs and Cooperation of The Republic of Equatorial Guinea to India (October 14-20, 2017)"
"Visit of Minister of Foreign Affairs and Foreign Trade of Jamaica to India (October 08-12, 2017)"
"Visit of Minister of Foreign Affairs of Lithuania to India (October 08-11, 2017)"
"Visit of Minister of Foreign Affairs of Ukraine to India (October 05-07, 2017)"
"Visit of President of the European Council & President of the European Commission to India (October 04-07, 2017)"
"Visit of Chief Executive of Afghanistan to India (September 27-29, 2017)"
"Visit of Prime Minister of Japan to India (September 13-14, 2017)"
"State visit of President of Belarus to India (September 11-12, 2017)"
"Visit of Minister of Foreign Affairs of the Islamic Republic of Afghanistan to India (September 10-12, 2017)"
"Visit of Minister of Foreign Affairs of Sri Lanka to India (September 08-10, 2017)"
Visit of President of the Swiss Confederation to India (30 August - 02 September 2017)
Minister of Foreign and European Affairs of The Slovak Republic to India
"Visit of Minister of Foreign Affairs of the State of Qatar to India (August 25-26, 2017)"
"State Visit of Prime Minister of Nepal to India (August 23-27, 2017)"
"Visit of Minister of Foreign Affairs of Uzbekistan to India (20-24 August, 2017)"
"Visit of Deputy Prime Minister and Minister of Foreign Affairs of Turkmenistan to India (August 13-15, 2017)"
Visit of Minister of Foreign Affairs and International Cooperation of the Federal Republic of Somalia to India (31 July - 04 August 2017)
"Visit of Foreign Minister of Republic of Iraq to India (July 24-28, 2017)"
"Visit of Minister for Foreign Affairs of Australia to India ( July 18-19, 2017)"
"Visit of Deputy Prime Minister and Minister of Foreign Affairs of the Republic of Yemen to India (July 10-13, 2017)"
"Visit of Deputy Prime Minister of Vietnam to India (July 03-06, 2017)"
"Visit of Minister of Foreign Affairs of Gabon (June 18-21, 2017)"
"Visit of Minister of Foreign Affairs of Sri Lanka to India (June 06-07, 2017)"
"State Visit of Prime Minister of the Republic of Mauritius to India (26-28 May, 2017)"
"State Visit of President of the State of Palestine to India (May 14-17, 2017)"
"Visit of Deputy Prime Minister of the Russian Federation to India (May 10, 2017)"
"Visit of Minister of Foreign Affairs of Netherlands to India (May 7-10, 2017)"
State Visit of President of Turkey to India (April 30-01 May 2017)
"Visit of Prime Minister of Sri Lanka to India (April 25-29, 2017)"
"State visit of President of the Republic of Cyprus to India (April 25-29, 2017)"
"Visit of High Representative of European Union to India (April 21-23, 2017)"
"State Visit of President of Nepal to India (April 17-21, 2017)"
"State Visit of Prime Minister of Australia to India (April 09-12, 2017)"
"State Visit of Prime Minister of Bangladesh to India (April 07-10, 2017)"
"Visit of Minister responsible for Foreign Affairs, Sultanate of Oman to India (April 02-03, 2017)"
"Visit of Prime Minister of Malaysia to India (30 March - 04 April, 2017)"
"Working visit of King of Swaziland to India (March 08-15, 2017)"
"Working visit of Prime Minister of Uganda to India (March 07-12, 2017)"
"Official visit of Chief of Royal Court of Jordan to India (March 07-10, 2017)"
"State Visit of Crown Prince of Abu Dhabi to India (January 24-26, 2017)"
"Visit of Rt. Hon. Boris Johnson, MP, Secretary of State for Foreign and Commonwealth Affairs of UK to India (January 18-20, 2017)"
"Visit of Foreign Minister of Nepal to India (January 16-18, 2017)"
"Visit of President of Kenya to India (January 10-12, 2017)"
"Visit of Prime Minister of Serbia to India (January 09-12, 2017)"
"Visit of President of Rwanda to India (January 09-11, 2017)"
"State visit of Prime Minister of Portugal to India (January 7-13, 2017)"
"Visit of Vice President of Suriname to India (January 05-14, 2017)"
"State Visit of the President of Kyrgyzstan to India (December 18-21, 2016 )"
"Visit of Minister of Foreign Affairs of the Czech Republic to India (December 18-20, 2016)"
"Visit of President of Tajikistan to India (December 14-18, 2016)"
"Visit of President of Indonesia to India (December 12-13, 2016)"
"Visit of Prime Minister of Qatar to India (December 02-03, 2016)"
"State Visit of President of Israel to India (November 14-21, 2016)"
"Visit of President of Sri Lanka to India (November 06-07, 2016)"
"Visit of Prime Minister of United Kingdom to India (November 6-8, 2016)"
"Visit of Minister for Foreign Affairs of Nepal to India (October 26-28, 2016)"
"State Visit of Prime Minister of New Zealand to India (October 24-27, 2016)"
"Visit of State Counsellor of Myanmar (October 17-18, 2016)"
"Official Visit of Prime Minister of Singapore to India (October 3-7, 2016)"
"Visit of Prime Minister of Sri Lanka to India (October 4-6, 2016)"
"Visit of Prime Minister of Nepal to India (September 15-18, 2016)"
"Working Visit of President of Afghanistan to India (September 14-15, 2016)"
"Visit of Minister of Foreign Affairs of Nepal to India (September 11-13, 2016)"
"Visit of Secretary of State of The United States of America (August 29-31, 2016)"
"State Visit of President of Myanmar to India (August 27-30, 2016)"
"State Visit of the President of Egypt to India (September 01-03, 2016)"
"Visit of Minister of Foreign Affairs of Republic of Turkey​ to India (August 18-20, 2016)"
"Visit of Foreign Minister of Maldives to India (August 15-16, 2016)"
"Visit of Foreign Minister of China to India (August 12-14, 2016)"
"Official visit of Minister of Foreign Affairs and International Cooperation of the Democratic Republic of the Congo to India (August 10-12, 2016)"
"Visit of Deputy Prime Minister and Home Minister of Malaysia to India (July 17-20, 2016)"
"Visit of Minister of Foreign Affairs and Trade of Hungary to India (July 04-06, 2016)"
"Visit of Prime Minister of the Kingdom of Thailand to India (June 16-18, 2016)"
"Visit of Deputy Prime Minister and Foreign Minister of Nepal to India (June 10-12, 2016)"
"Private visit of Prime Minister of Fiji to India (May 19, 2016)"
"Working visit of President of Sri Lanka to India (May 13-14, 2016)"
"Visit of Minister of Foreign Affairs of Mongolia to India (April 27-29, 2016)"
"Visit of Minister for Foreign Affairs of the Bahamas to India (April 23-27, 2016)"
"Visit of President of Maldives to India (April 10-11, 2016)"
"Visit of Minister for Foreign Affairs and External Trade of Iceland to India (April 03-10, 2016)"
"Visit of Foreign Minister of Timor Leste to India (March 26-29, 2016)"
"Visit of Foreign Minister of Mexico to India (March 11-13, 2016)"
"Official visit of Foreign Minister of Saudi Arabia to India (March 07-08, 2016)"
"Visit of Foreign Minister of the People's Republic of Bangladesh to India (March 01-03, 2016 )"
"Raisina Dialogue (March 01- 03, 2016)"
"Delhi Dialogue VIII (February ​17-19, 2016)"
"Visit of Federal Minister for Europe, Integration and Foreign Affairs of the Republic of Austria to India (February 16-19, 2016)"
"Visit of Prime Minister of Bhutan to India (February 16, 2016)"
"State Visit of Prime Minister of Nepal to India (February 19-24, 2016)"
"Visit of Prime Minister of Sweden to India (February 12-14, 2016)"
"Visit of Prime Minister of Finland to India (February 12-14, 2016)"
State Visit of Crown Prince of Abu Dhabi and Deputy Supreme Commander of the UAE Armed Forces to India (10-12 February 2016)
Visit of Chief Executive Officer and Head of the Council of the Ministers of the Islamic Republic of Afghanistan to India (31st January to 4th February 2016 )
"State Visit of President Francois Hollande of the French Republic to India (January 24-26, 2016)"
"Visit of Deputy Prime Minister and Minister of Foreign Affairs of the Syrian Arab Republic to India (January 11-14, 2016)"
"Visit of Prime Minister of Japan to India(December 11-13, 2015)"
"Visit of President of the Republic of Mauritius to India (December 06-10, 2015)"
"Visit of Minister of Foreign Affairs and International Development of France to India (November 20-21, 2015)"
"Visit of Minister of Foreign Affairs of Brazil to India (November 17-20, 2015)"
"Visit of Minister of Foreign Affairs of Norway to India (November 02-04, 2015)"
"Visit of Vice President of the People's Republic of China to India (November 3-7, 2015)"
"3rd India Africa Forum Summit (October 26-29, 2015)"
"Visit of Foreign Minister of Bhutan to India (October 22-28, 2015)"
"Visit of Deputy Prime Minister and Minister of Foreign Affairs of Nepal (October 17-19, 2015)"
"Visit of Secretary of Foreign Affairs of Philippines to India (October 13-15, 2015)"
"Visit of Minister for Foreign Affairs of the Republic of Singapore to India (October 12, 2015)"
"Visit of Minister of Foreign Affairs of Uruguay to India (October 06-11, 2015)"
"Visit of Chancellor of Federal Republic of Germany to India (October 4-6, 2015)"
"Visit of Prime Minister of Sri Lanka to India (September 14-16, 2015)"
"Visit of​ Minister of Foreign Affairs of United Arab Emirates to India (September 3-4, 2015)"
Visit of President-elect of the General Assembly of the United Nations to India (August 29 - 01 September 2015)
"State visit of President of the Republic of Seychelles to India (August 25-27, 2015)"
"Visit of Minister of Foreign Affairs of the Islamic Republic Iran to India (August 13-14, 2015)"
"State visit of President of the Republic of Mozambique to India (August 4 - 8, 2015)"
"​Visit of Former Prime Minister of Nepal, Mr. Sher Bahadur Deuba to India (29 July- 03 August, 2015)"
"Visit of Minister of Foreign Affairs of the Republic of the Union of Myanmar to India (July 14-17, 2015)"
Visit of Mr. Pushpa Kamal Dahal ‘Prachanda’ former Prime Minister of Nepal to India (July 14-20 2015)
State Visit of the President of United Republic of Tanzania to India (17-21 June 2015)
"Official Visit of Prime Minister of the Kingdom of the Netherlands to India (June 05-07, 2015)"
"State Visit of President of Islamic Republic of Afghanistan to India (April 27-29, 2015)"
"Visit of Minister of Foreign Affairs & Cooperation of Spain to India (April 26-28, 2015)"
"Visit of Minister of Foreign Affairs of the Republic of Belarus to India (April 14-16, 2015)"
"Visit of Foreign Minister of Democratic People’s Republic of Korea to India (April 12-14, 2015)"
"Visit of Foreign Minister of Australia to India (April 12-15, 2015)"
"State visit of Emir of the State of Qatar to India (March 24-25, 2015)"
"Official Visit of Minister of Foreign Affairs of the Kingdom of Bahrain to India (February 22, 2015)"
"State Visit of the President of the Socialist Republic of Sri Lanka (February 15-18, 2015)"
"State Visit of President of Singapore to India (February 8-11, 2015)"
"Visit of President of United States of America to India (January 25-27, 2015)"
"Official visit of the Vice President of the Republic of the Union of Myanmar to India (January 19-23, 2015)"
"Visit of Minister of External Affairs of Democratic Socialist Republic of Sri Lanka to India (January 17 -19, 2015)"
"Visit of Minister of Foreign Affairs of the Republic of Suriname to India (January 11-16, 2015)"
"Official Visit of Prime Minister of Bhutan to India (January 10-18, 2015)"
"​Official Visit of Secretary General of United Nations to India (January 10-13, 2015)"
"Visit of Foreign Minister of Japan to India (January 16-18, 2015)"
"Official visit of the President of the Cooperative Republic of Guyana to India (January 7-12, 2015)"
"Official visit of the President Bangladesh to India (December 18-23, 2014)"
"Official Visit of the President of the Russian Federation to India (December 10-11, 2014)"
"State Visit of Prime Minister of Vietnam to India (October 27-28, 2014)"
"Visit of Minister of Foreign Affairs of Nepal to India (October 19-21, 2014)"
"State Visit of President of the People’s Republic of China (September 17-19, 2014)"
"Visit of Foreign Minister of Germany to India (September 6-8, 2014)"
"State Visit of Prime Minister of Australia to India (September 4-5, 2014)"
"Visit of US Secretary of State to India (July 30 - August 1, 2014)"
"Visit of the Foreign Minister of Uganda to India (July 27-31, 2014)"
"Visit of Foreign Secretary of United Kingdom to India (July 7-8, 2014)"
"Official Visit of Foreign Minister of French Republic to India (June 29 – July 2, 2014)"
"Visit of Minister for Foreign Affairs & Minister for Law of the Republic of Singapore to India (June 30 - July 6, 2014)"
"Visit of Deputy Chairman of the Government of the Russian Federation to India (June 18-19, 2014)"
"​Visit of Foreign Minister of the People’s Republic of China to India (June 8-9, 2014)​"
"Official visit of Minister Responsible for Foreign Affairs, Sultanate of Oman to India (June 3, 2014)"
"Visit of President of the General Assembly of the United Nations to India (March 19-22, 2014)"
"Official Visit of Minister for Foreign Affairs of the Islamic Republic of Iran to India (February 27-28, 2014)"
"Official visit of Minister Responsible for Foreign Affairs, Sultanate of Oman to India (February 28, 2014)"
"Visit of Her Royal Highness Princess Maha Chakri Sirindhorn of Thailand to India (February 23-28, 2014)"
"Visit of Deputy Chairman of the Government of Russian Federation to India (February 26, 2014)"
"Official Visit of His Royal Highness Prince Salman bin Abdulaziz Al Saud Crown Prince, Deputy Prime Minister and Defence Minister of the Kingdom of Saudi Arabia to India (February 26-28, 2014)"
"Visit of Secretary General of the Shanghai Cooperation Organisation to India (February 23-25, 2014)"
"State Visit of Governor General of Canada to India (February 22 to March 02, 2014)"
"State Visit of King of the Kingdom of Bahrain to India (February 18-20, 2014)"
"Official Visit of the Foreign Minister of the Kyrgyz Republic to India (February 13-15, 2014)"
Visit of Minister of Foreign Affairs and International Cooperation of Fiji to India
State Visit of President of the Federal Republic of Germany to India (February 4–9 2014)
"Official Visit of the President of Zanzibar to India (February 01-09, 2014)"
"Official Visit of Prime Minister of Japan to India (January 25-27, 2014)"
"State Visit of President of Republic of Korea to India (January 15-18, 2014)"
"Official Visit of King and Queen of Bhutan (January 6-10, 2014)"
"Visit of President of the Republic of Maldives to India (January 1-4, 2014)"
"Visit of Foreign Minister of Venezuela to India (December 20-21, 2013)"
"Visit of Minister of Foreign Affairs of Republic of Macedonia to India (December 16-18, 2013)"
"Visit of Secretary General of the League of Arab States to India(December 16-18, 2013)"
"Visit of President of The Islamic Republic of Afghanistan to India (December 12-15, 2013)"
"Visit of Minister of Foreign Affairs of United Arab Emirates to India (December 11-12, 2013)"
"Official Visit of Foreign Minister of UAE to India (December 11-12, 2013)"
"State Visit of Emperor and Empress of Japan to India (November 30 – December 5, 2013)"
"State Visit of the General Secretary of the Communist Party of Vietnam to India (November 19-22, 2013)"
"State Visit of Prime Minister of Kuwait to India (November 7-10, 2013)"
"State Visit of Prime Minister of Hungary to India ( October16-19, 2013)"
"Official Visit of His Highness The Aga Khan to India (September 17-28, 2013)"
"Visit of Minister of Foreign Affairs of the Republic of Latvia (September 14-20, 2013)"
State Visit of the President of Republic of Liberia to India (September 9-13)
"Visit of Prime Minister of Bhutan to India (August 30-September 4, 2013)"
Visit of President of the Swiss
"Visit of Foreign Minister of Tuvalu to India (August 21-25, 2013)"
"State visit of Prime Minister of Iraq to India (August 22-25, 2013)"
"Official visit of Vice President of Afghanistan to India (August 20-22, 2013)"
"Visit of Minister of Foreign Affairs of the Republic of Nicaragua to India (August 20-23, 2013)"
"Visit of Minister of External Affairs of Sri Lanka (August 18-19, 2013)"
"Visit of Foreign Minister of Republic of Chad (August 12-13, 2013)"
"Visit of Mr. Sushil Kumar Koirala, President of Nepali Congress to India (August 4-9, 2013)"
"Visit of Minister of Finance and National Economy of Sudan (July 24-26, 2013)"
"Visit of Vice President of USA (July 22-25, 2013)"
"Visit of Minister of Foreign Affairs of Vietnam (July 10-12, 2013)"
"Visit of US Secretary of State Mr. John Kerry (June 23-25, 2013)"
"Visit of Deputy PM and Minister of Foreign and European Affairs of the Slovak Republic (June 17- 20, 2013)"
