titles
"Visit of External Affairs Minister Dr. S Jaishankar to Perth, Australia (February 09-10, 2024)"
"Visit of External Affairs Minister to Uganda and Nigeria (January 19-23, 2024)"
"Visit of External Affairs Minister to Bahrain (January 23-24, 2016)"
"Visit of External Affairs Minister to Palestine (January 17, 2016)"
"Visit of External Affairs Minister to Israel (January 17- 18, 2016)"
"Visit of External Affairs Minister to Pakistan (December 08-09, 2015)"
"Visit of External Affairs Minister to Malta (November 26-29, 2015)"
"Visit of External Affairs Minister to Russia (October 19-21, 2015)"
"Visit of External Affairs Minister to Maldives (October 10-11, 2015)"
Visit of External Affairs Minister to USA (September 2015)​
"Visit of External Affairs Minister to Germany (August 25-27, 2015)"
"Visit of External Affairs Minister to Egypt (Aug 23-25, 2015)"
"Visit of External Affairs Minister to Thailand (June 27- 29, 2015)"
"Visit of External Affairs Minister to New York for 1st IDY celebrations (June 20-22, 2015)"
"Visit of External Affairs Minister to South Africa (May 18-21, 2015)"
"Visit of External Affairs Minister to Indonesia (April 21-24, 2015)"
"Visit of External Affairs Minister to Turkmenistan (April 7-9, 2015)"
"Visit of External Affairs Minister to Sri Lanka (March 6-7, 2015)"
"Official visit of External Affairs Minister to Oman( February 17-18, 2015)"
"Visit of External Affairs Minister to China (February 01-03, 2015)"
"Visit of External Affairs Minister to Republic of Korea (December 28-30, 2014)"
"Visit of External Affairs Minister to Nepal (November 24-27, 2014)"
"Official visit of External Affairs Minister to United Arab Emirates (10-12 November, 2014)"
"Visit of External Affairs Minister to Mauritius and Maldives (Nov 1-3, 2014)"
"Visit of External Affairs Minister to Mauritius and Maldives (Nov 1-3, 2014)"
"Visit of External Affairs Minister to United Kingdom (October 17, 2014)"
"Visit of External Affairs Minister to USA (September 24-October 1, 2014)"
"External Affairs Minister's visit to Afghanistan (September 11, 2014)"
"External Affairs Minister's visit to Tajikistan (September 10, 2014)"
"Visit of External Affairs Minister to the Kingdom of Bahrain (September 06, 2014)"
Visit of External Affairs Minister to Vietnam
"Visit of External Affairs Minister to Singapore (August 15-17, 2014)"
"Visit of External Affairs Minister to Nay Pyi Taw, Myanmar​"
"Visit of External Affairs Minister to Nepal (July 25-27, 2014)"
"External Affairs Minister visit to Dhaka (June 25-27, 2014)"
"Visit of External Affairs Minister to the Netherlands for Nuclear Security Summit (March 24-25, 2014"
"Official Visit of External Affairs Minister to the United Kingdom (March 12-14, 2014)"
External Affairs Minister's visit to Maldives (February 2014)
Visit of External Affairs Minister to Afghanistan (February 2014)
"External Affairs Minister's visit to Morocco, Tunisia and Sudan (January 30- February 5, 2014)"
External Affairs Minister's visit to Switzerland for Geneva-II Conference
"External Affairs Minister's visit to Bahrain (December 7-9, 2013)"
"Visit of External Affairs Minister to Sri Lanka (CHOGM) [November 15-17, 2013]"
Visit of External Affairs Minister to Australia
"External Affairs Minister's visit to Philippines (October 21-23, 2013)"
"External Affairs Minister's visit to Singapore (October 23-24, 2013)"
"External Affairs Minister's visit to Colombo, Sri Lanka"
"External Affairs Minister's visit to Moscow, Russia"
"External Affairs Minister's visit to Canada (September 21-23, 2013)"
"External Affairs Minister's visit to USA and UNGA (September 23-30, 2013)"
"External Affairs Minister’s Visit to Kyrgyz Republic and Uzbekistan (September 12-15, 2013)"
"Visit of External Affairs Minister to Lao PDR (September 8-10, 2013)"
"External Affairs Minister's visit to Turkey (July 23-25, 2013)"
"Visit of External Affairs Minister to Hungary (July 14-16, 2013)"
"Visit of External Affairs Minister to Nepal (July 9, 2013)"
"Visit of External Affairs Minister to Singapore (July 3-4, 2013)"
"Visit of External Affairs Minister to Brunei (July 1-2, 2013)"
"Visit of External Affairs Minister to Iraq (June 19-20, 2013)"
Visit of External Affairs Minister to Norway
"Visit of External Affairs Minister to Saudi Arabia, May 25-26, 2013"
"External Affairs Minister's visit to China (May 9-10, 2013)"
Visit of External Affairs Minister to Iran for the 17th India-Iran Joint Commission meeting (May 3-5
"Visit of External Affairs Minister to Russia (April 28-30, 2013)"
"Visit of External Affairs Minister to Kazakhstan (April 26, 2013)"
"Visit of External Affairs Minister to Kampala ( April 17-20, 2013)"
"Visit of External Affairs Minister to Japan (March 26-27, 2013)"
"Visit of External Affairs Minister to Bangladesh (February 16-17, 2013)"
"Visit of External Affairs Minister to Chile (February 5-7, 2013)"
"External Affairs Minister's visit to Germany and Belgium (January 28-31, 2013)"
"External Affairs Minister's visit to Bhutan (14-15 January, 2013)"
"Visit of External Affairs Minister to France, January 10-11, 2013"
"Visit of the External Affairs Minister to Myanmar (14-16 December,2012)"
"External Affairs Minister's Visit to Lao PDR (5-6 November, 2012)"
EAM's visit to United States of America to Attend 67th UN General Assembly
External Affairs Minister's Visit to Pakistan
External Affairs Minister’s Visit to Phnom Penh
External Affairs Minister’s Visit to Tokyo
External Affairs Minister visits Tajikistan 2-3 July 2012
External Affairs Minister’s Visit to Cuba 15 – 17 June 2012
Visit of External Affairs Minister to USA
Visit of External Affairs Minister to Russia
Visit of External Affairs Minister to Singapore
External Affairs Minister's Visit to Egypt
Visit of External Affairs Minister to China
Visit of External Affairs Minister to China
Visit of External Affairs Minister to Sri Lanka
EAM to Israel and Palestine
EAM to Israel and Palestine
Visit of EAM to Maldives
Visit of EAM to Bali
Visit of EAM to London
Visit of EAM to Dhaka
Visit of EAM to Myanmar
Visit of EAM to Astana
Visit of EAM to Hungary
Visit of EAM to Istanbul
Visit of EAM to Singapore
Visit of EAM to Malaysia
Visit of EAM to Nepal
EAM's visit to New York
Visit of EAM to Thimphu
Visit of EAM to Australia
EAM's visit to Afghanistan
EAM at 65th UNGA session
Visit of External Affairs Minister to Afghanistan
Visit of External Affairs Minister to Afghanistan
Visit of External Affairs Minister to Pakistan
EAM's visit to Myanmar for 12th BIMSTEC Ministerial Meeting
EAM’s visit to Russia and Uzbekistan
Visit of External Affairs Minister to Japan
Visit of External Affairs Minister to Bhutan 
Visit of External Affairs Minister to Bangladesh
Visit of External Affairs Minister to Sri Lanka
Visit of External Affairs Minister to Nepal
Visit of External Affairs Minister to Nepal
Visit of External Affairs Minister Shri Pranab Mukherjee to Egypt(1-3 July)
External Affairs Minister Shri Pranab Mukherjee visit to China from 4 - 7 June
"Visit of External Affairs Minister, Shri Pranab Mukherjee to Pakistan, May 20-21, 2008"
"Visit of External Affairs Minister, Shri Pranab Mukherjee to Saudi Arabia, April 19-20, 2008"
"Visit of External Affairs Minister Shri Pranab Mukherjee to Washington, March 24-25, 2008"
"Visit of External Affairs Minister Shri Pranab Mukherjee to Brazil and South Africa, February 16-22,"
"Visit of External Affairs Minister Shri Pranab Mukherjee to Oman, January 13-14, 2008"
"Visit of External Affairs Minister Shri Pranab Mukherjee to Mauritius (17-19 December, 2007)"
"Visit of External Affairs Minister Shri Pranab Mukherjee to Harbin, China for India-Russia-China For"
"Visit of External Affairs Minister Shri Pranab Mukherjee to Russia, 11-13 October, 2007"
Visit of External Affairs Minister Shri Pranab Mukherjee to New York
"Visit of External Affairs Minister, Shri Pranab Mukherjee to Thailand and Republic of Korea, 13-18 S"
Visit of External Affairs Minister Shri Pranab Mukherjee to Manila for East Asia Summit Foreign Mini
"Visit of External Affairs Minister, Shri Pranab Mukherjee to Bhutan, 27-29 July, 2007"
"Visit of External Affairs Minister, Shri Pranab Mukherjee to Ethiopia, 3-6 July, 2007"
"Visit of External Affairs Minister, Shri Pranab Mukherjee to Indonesia and Singapore, 17-20 June, 20"
"Visit of External Affairs Minister, Shri Pranab Mukherjee to Cyprus, Libya, Germany and Belgium, 24-"
"Visit of External Affairs Minister, Shri Pranab Mukherjee to Japan, 22-23 March, 2007"
"Visit of External Affairs Minister, Shri Pranab Mukherjee to Bangladesh, 19th February, 2007"
"Visit of External Affairs Minister, Shri Pranab Mukherjee to Iran, 6-7 February, 2007"
"Visit of External Affairs Minister,Shri Pranab Mukherjee to Myanmar, 19-21 January, 2007"
"Visit of External Affairs Minister, Shri Pranab Mukherjee to Pakistan, 13-14 January, 2007"
"Visit of External Affairs Minister, Shri Pranab Mukherjee to Cebu (Philippines), 11& 12 January, 200"
"Visit of External Affairs Minister, Shri Pranab Mukherjee to Cebu (Philippines), 11& 12 January, 200"
"Visit of External Affairs Minister Shri Pranab Mukherjee to Nepal, 17 December, 2006"
"Visit of External Affairs Minister Shri Pranab Mukherjee to Nepal, 17 December, 2006"
"Visit of External Affairs Ministers, Shri Pranab Mukherjee to Afghanistan, 23 January, 2006"
